State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Pequannock Township,"17,102",36,31,5,,,,
,Perth Amboy,"48,853",143,119,24,,,,
,Phillipsburg,"14,406",38,36,2,,,,
,Pine Beach,"2,067",6,5,1,,,,
,Pine Hill,"11,231",24,22,2,,,,
,Pine Valley,23,4,4,0,,,,
,Piscataway Township,"52,585",112,92,20,,,,
,Pitman,"9,169",16,15,1,,,,
,Plainfield,"46,124",181,149,32,,,,
,Plainsboro Township,"21,219",46,34,12,,,,
,Pleasantville,"18,713",71,58,13,,,,
,Plumsted Township,"8,253",12,11,1,,,,
,Pohatcong Township,"3,320",16,15,1,,,,
,Point Pleasant,"19,959",43,35,8,,,,
,Point Pleasant Beach,"5,401",31,24,7,,,,
,Pompton Lakes,"11,106",25,21,4,,,,
,Princeton,"13,456",45,34,11,,,,
,Princeton Township,"17,512",40,31,9,,,,
,Prospect Park,"5,592",16,15,1,,,,
,Rahway,"28,286",89,82,7,,,,
,Ramsey,"14,620",34,30,4,,,,
,Randolph Township,"25,293",50,41,9,,,,
,Raritan,"7,033",23,18,5,,,,
,Raritan Township,"22,712",37,34,3,,,,
,Readington Township,"16,010",25,23,2,,,,
,Red Bank,"11,843",48,42,6,,,,
,Ridgefield,"10,854",30,28,2,,,,
,Ridgefield Park,"12,383",40,31,9,,,,
,Ridgewood,"24,165",47,42,5,,,,
,Ringwood,"12,688",28,22,6,,,,
,Riverdale,"2,909",22,18,4,,,,
,River Edge,"10,648",25,21,4,,,,
,Riverside Township,"7,717",16,16,0,,,,
,Riverton,"2,629",7,6,1,,,,
,River Vale Township,"9,648",24,21,3,,,,
,Robbinsville Township,"12,157",35,26,9,,,,
,Rochelle Park Township,"6,166",25,20,5,,,,
,Rockaway,"6,268",16,15,1,,,,
,Rockaway Township,"25,606",68,56,12,,,,
,Roseland,"5,343",33,28,5,,,,
,Roselle,"20,593",65,55,10,,,,
,Roselle Park,"12,775",41,34,7,,,,
,Roxbury Township,"23,278",54,47,7,,,,
,Rumson,"7,205",22,17,5,,,,
,Runnemede,"8,338",22,20,2,,,,
,Rutherford,"17,487",44,39,5,,,,
,Saddle Brook Township,"13,593",34,31,3,,,,
,Saddle River,"3,839",23,18,5,,,,
,Salem,"5,634",30,24,6,,,,
,Sayreville,"42,408",108,92,16,,,,
,Scotch Plains Township,"22,911",53,46,7,,,,
,Sea Bright,"1,804",12,11,1,,,,
,Sea Girt,"2,030",14,11,3,,,,
,Sea Isle City,"2,927",34,23,11,,,,
,Seaside Heights,"3,326",30,22,8,,,,
,Seaside Park,"2,301",20,15,5,,,,
,Secaucus,"15,254",67,59,8,,,,
,Ship Bottom,"1,440",11,10,1,,,,
,Shrewsbury,"3,763",21,16,5,,,,
,Somerdale,"5,045",14,13,1,,,,
,Somers Point,"11,351",29,24,5,,,,
,Somerville,"12,675",38,31,7,,,,
,South Amboy,"7,773",35,30,5,,,,
,South Bound Brook,"4,884",14,13,1,,,,
,South Brunswick Township,"40,941",104,82,22,,,,
,South Hackensack Township,"2,274",18,17,1,,,,
,South Harrison Township,"3,141",6,6,0,,,,
,South Orange,"15,885",63,57,6,,,,
,South Plainfield,"22,708",71,56,15,,,,
,South River,"15,716",37,30,7,,,,
,South Toms River,"3,707",13,12,1,,,,
,Sparta Township,"19,262",50,39,11,,,,
,Spotswood,"8,151",23,19,4,,,,
,Springfield,"14,710",48,42,6,,,,
,Springfield Township,"3,509",9,8,1,,,,
,Spring Lake,"3,486",18,14,4,,,,
,Spring Lake Heights,"5,102",13,13,0,,,,
,Stafford Township,"26,659",82,58,24,,,,
,Stanhope,"3,577",10,9,1,,,,
,Stillwater Township,"4,299",5,5,0,,,,
,Stone Harbor,"1,004",22,16,6,,,,
,Stratford,"6,988",16,15,1,,,,
,Summit,"20,560",57,48,9,,,,
,Surf City,"1,556",10,10,0,,,,
,Swedesboro,"2,066",8,8,0,,,,
,Teaneck Township,"38,828",120,100,20,,,,
,Tenafly,"14,303",44,37,7,,,,
,Tewksbury Township,"6,085",13,12,1,,,,
,Tinton Falls,"19,409",41,40,1,,,,
,Toms River Township,"95,410",213,158,55,,,,
,Totowa,"10,649",31,28,3,,,,
,Trenton,"82,140",460,358,102,,,,
,Tuckerton,"3,874",10,10,0,,,,
,Union Beach,"6,638",18,15,3,,,,
,Union City,"61,931",212,165,47,,,,
,Union Township,"53,777",189,137,52,,,,
,Upper Saddle River,"8,545",24,18,6,,,,
,Ventnor City,"12,195",53,41,12,,,,
,Vernon Township,"24,943",42,32,10,,,,
,Verona,"12,494",33,29,4,,,,
,Vineland,"58,606",182,155,27,,,,
,Voorhees Township,"31,210",66,52,14,,,,
,Waldwick,"9,452",22,17,5,,,,
,Wallington,"11,273",23,21,2,,,,
,Wall Township,"26,287",89,73,16,,,,
,Wanaque,"11,787",27,23,4,,,,
,Warren Township,"16,052",38,30,8,,,,
,Washington,"6,665",14,13,1,,,,
,"Washington Township, Bergen County","9,621",22,22,0,,,,
,"Washington Township, Gloucester County","51,670",91,84,7,,,,
,"Washington Township, Morris County","18,493",44,31,13,,,,
,"Washington Township, Warren County","6,905",14,13,1,,,,
,Watchung,"6,727",37,30,7,,,,
,Waterford Township,"10,609",26,24,2,,,,
,Wayne Township,"53,956",145,117,28,,,,
,Weehawken Township,"12,265",62,56,6,,,,
,Wenonah,"2,334",7,7,0,,,,
,Westampton Township,"8,775",26,24,2,,,,
,West Amwell Township,"2,992",7,6,1,,,,
,West Caldwell Township,"10,442",35,29,6,,,,
,West Deptford Township,"22,266",46,41,5,,,,
,Westfield,"29,419",73,59,14,,,,
,West Long Branch,"8,361",26,21,5,,,,
,West Milford Township,"27,892",55,48,7,,,,
,West New York,"46,286",131,119,12,,,,
,West Orange,"42,470",133,118,15,,,,
,Westville,"4,453",16,15,1,,,,
,West Wildwood,399,5,5,0,,,,
,West Windsor Township,"26,949",60,47,13,,,,
,Westwood,"10,707",30,26,4,,,,
,Wharton,"6,081",22,21,1,,,,
,Wildwood,"5,253",53,41,12,,,,
,Wildwood Crest,"4,046",28,21,7,,,,
,Willingboro Township,"37,258",86,74,12,,,,
,Winfield Township,"1,443",9,9,0,,,,
,Winslow Township,"39,622",103,86,17,,,,
,Woodbine,"2,448",2,2,0,,,,
,Woodbridge Township,"98,154",252,203,49,,,,
,Woodbury,"10,433",30,27,3,,,,
,Woodbury Heights,"3,036",8,7,1,,,,
,Woodcliff Lake,"5,937",19,18,1,,,,
,Woodland Park,"11,592",33,28,5,,,,
,Wood-Ridge,"7,457",25,22,3,,,,
,Woodstown,"3,330",10,9,1,,,,
,Woolwich Township,"10,144",19,18,1,,,,
,Wyckoff Township,"16,964",33,25,8,,,,
NEW MEXICO,Alamogordo,"35,660",118,73,45,,,,
,Albuquerque,"527,464","1,488","1,029",459,,,,
,Angel Fire,"1,127",5,4,1,,,,
,Artesia,"10,460",46,29,17,,,,
,Aztec,"6,851",18,15,3,,,,
,Bayard,"2,358",6,6,0,,,,
,Belen,"7,159",23,17,6,,,,
,Bernalillo,"7,179",24,20,4,,,,
,Bloomfield,"7,181",26,20,6,,,,
,Bosque Farms,"4,010",13,12,1,,,,
,Carlsbad,"24,966",74,48,26,,,,
,Carrizozo,"1,028",4,3,1,,,,
,Cimarron,822,2,2,0,,,,
,Clayton,"2,054",14,7,7,,,,
,Clovis,"33,263",75,53,22,,,,
,Corrales,"7,930",21,18,3,,,,
,Cuba,637,6,5,1,,,,
,Deming,"15,430",40,34,6,,,,
,Dexter,"1,245",4,4,0,,,,
,Espanola,"9,530",28,21,7,,,,
,Estancia,"1,522",6,5,1,,,,
,Eunice,"2,668",13,7,6,,,,
,Farmington,"42,956",159,125,34,,,,
,Gallup,"18,642",93,62,31,,,,
,Grants,"8,883",19,13,6,,,,
,Hatch,"1,642",9,7,2,,,,
,Hobbs,"29,751",112,70,42,,,,
,Hurley,"1,355",4,3,1,,,,
,Jal,"2,072",9,5,4,,,,
,Las Cruces,"91,982",244,163,81,,,,
,Las Vegas,"13,419",52,35,17,,,,
,Lordsburg,"2,598",11,10,1,,,,
,Los Alamos,"18,541",70,29,41,,,,
,Los Lunas,"12,395",37,33,4,,,,
,Lovington,"9,843",30,23,7,,,,
,Magdalena,853,4,4,0,,,,
,Melrose,708,1,1,0,,,,
,Milan,"2,586",14,6,8,,,,
,Moriarty,"1,758",11,10,1,,,,
,Portales,"12,107",36,23,13,,,,
,Questa,"1,871",3,1,2,,,,
,Red River,485,10,4,6,,,,
,Rio Rancho,"79,647",199,124,75,,,,
,Roswell,"45,619",109,77,32,,,,
,Ruidoso,"9,031",39,24,15,,,,
,Ruidoso Downs,"2,656",18,8,10,,,,
,Santa Clara,"1,813",8,7,1,,,,
,Santa Fe,"74,496",192,147,45,,,,
,Santa Rosa,"2,508",14,8,6,,,,
,Silver City,"9,915",35,30,5,,,,
,Socorro,"8,478",27,19,8,,,,
,Sunland Park,"14,341",19,16,3,,,,
,Taos,"5,332",28,21,7,,,,
,Taos Ski Valley,56,3,3,0,,,,
,Tatum,726,5,2,3,,,,
,Texico,"1,032",3,2,1,,,,
,Truth or Consequences,"6,617",13,11,2,,,,
,Tucumcari,"5,030",28,15,13,,,,
,Tularosa,"2,850",10,5,5,,,,
NEW YORK,Addison Town and Village,"2,511",1,1,0,,,,
,Akron Village,"2,973",2,2,0,,,,
,Albany,"94,152",456,332,124,,,,
,Albion Village,"5,553",11,11,0,,,,
,Alexandria Bay Village,"1,109",2,2,0,,,,
,Alfred Village,"4,970",6,6,0,,,,
,Allegany Village,"1,764",3,2,1,,,,
,Altamont Village,"1,708",1,1,0,,,,
,Amherst Town,"110,351",189,153,36,,,,
,Amity Town and Belmont Village,"2,128",1,1,0,,,,
,Amityville Village,"9,247",27,25,2,,,,
,Amsterdam,"17,481",38,37,1,,,,
,Arcade Village,"1,890",6,6,0,,,,
,Ardsley Village,"4,933",20,20,0,,,,
,Asharoken Village,637,3,3,0,,,,
,Auburn,"27,173",78,70,8,,,,
,Baldwinsville Village,"7,165",18,15,3,,,,
,Batavia,"15,156",33,29,4,,,,
,Bath Village,"5,428",14,12,2,,,,
,Beacon,"14,522",37,35,2,,,,
,Bedford Town,"18,626",48,43,5,,,,
,Bethlehem Town,"33,349",60,42,18,,,,
,Binghamton,"44,746",153,139,14,,,,
,Blooming Grove Town,"12,348",18,16,2,,,,
,Bolivar Village,"1,108",1,1,0,,,,
,Boonville Village,"2,054",3,3,0,,,,
,Brighton Town,"34,226",46,40,6,,,,
,Brockport Village,"8,108",12,11,1,,,,
,Bronxville Village,"6,561",22,22,0,,,,
,Buchanan Village,"2,259",5,5,0,,,,
,Buffalo,"270,289",943,800,143,,,,
,Cairo Town,"6,582",2,2,0,,,,
,Caledonia Village,"2,136",5,5,0,,,,
,Cambridge Village,"1,813",4,4,0,,,,
,Camden Village,"2,257",3,3,0,,,,
,Camillus Town and Village,"23,231",26,24,2,,,,
,Canajoharie Village,"2,161",5,5,0,,,,
,Canandaigua,"11,159",29,25,4,,,,
,Canton Village,"6,075",10,8,2,,,,
,Catskill Village,"4,241",16,15,1,,,,
,Cayuga Heights Village,"3,667",7,6,1,,,,
,Cazenovia Village,"2,861",3,3,0,,,,
,Centre Island Village,428,5,5,0,,,,
,Chatham Village,"1,694",3,2,1,,,,
,Cheektowaga Town,"78,303",165,129,36,,,,
,Chester Town,"9,973",13,13,0,,,,
,Chester Village,"3,585",12,11,1,,,,
,Chittenango Village,"4,890",5,4,1,,,,
,Cicero Town,"28,331",15,14,1,,,,
,Clarkstown Town,"78,869",198,170,28,,,,
,Clifton Springs Village,"2,141",2,2,0,,,,
,Cohoes,"15,032",47,35,12,,,,
,Colchester Town,"2,036",2,2,0,,,,
,Colonie Town,"78,272",152,108,44,,,,
,Cooperstown Village,"1,898",6,5,1,,,,
,Cornwall Town,"9,825",16,12,4,,,,
,Cortland,"18,342",46,43,3,,,,
,Dansville Village,"4,464",5,5,0,,,,
,Depew Village,"15,275",34,28,6,,,,
,Deposit Village,"1,592",3,3,0,,,,
,Dewitt Town,"21,397",40,37,3,,,,
,East Aurora-Aurora Town,"13,491",22,17,5,,,,
,Eastchester Town,"18,793",53,46,7,,,,
,East Fishkill Town,"29,314",39,32,7,,,,
,East Hampton Town,"18,998",95,68,27,,,,
,East Syracuse Village,"2,974",12,10,2,,,,
,Ellenville Village,"3,877",11,10,1,,,,
,Ellicott Town,"5,229",13,12,1,,,,
,Elmira,"29,255",89,79,10,,,,
,Elmira Town,"5,855",4,4,0,,,,
,Elmsford Village,"4,779",18,18,0,,,,
,Endicott Village,"12,428",39,35,4,,,,
,Evans Town,"16,827",30,24,6,,,,
,Fairport Village,"5,442",11,10,1,,,,
,Fort Plain Village,"2,179",2,2,0,,,,
,Franklinville Village,"1,699",2,2,0,,,,
,Freeport Village,"42,249",103,86,17,,,,
,Fulton City,"11,209",37,35,2,,,,
,Garden City Village,"21,741",63,50,13,,,,
,Gates Town,"28,383",35,28,7,,,,
,Geddes Town,"10,482",17,15,2,,,,
,Geneseo Village,"7,669",8,8,0,,,,
,Geneva,"13,156",42,37,5,,,,
,Glen Cove,"25,982",56,52,4,,,,
,Glens Falls,"13,923",35,29,6,,,,
,Glenville Town,"21,444",35,22,13,,,,
,Gloversville,"14,989",35,33,2,,,,
,Goshen Town,"8,534",12,11,1,,,,
,Goshen Village,"5,531",20,17,3,,,,
,Granville Village,"2,541",6,6,0,,,,
,Great Neck Estates Village,"2,668",16,13,3,,,,
,Greece Town,"92,932",98,90,8,,,,
,Greene Village,"1,654",1,1,0,,,,
,Greenwich Village,"1,825",4,4,0,,,,
,Greenwood Lake Village,"3,428",8,6,2,,,,
,Groton Village,"2,401",2,1,1,,,,
,Guilderland Town,"33,215",51,34,17,,,,
,Hamburg Town,"43,980",80,62,18,,,,
,Hamburg Village,"9,349",16,14,2,,,,
,Harriman Village,"2,253",7,7,0,,,,
,Harrison Town,"26,809",82,73,9,,,,
,Hastings-on-Hudson Village,"7,981",21,21,0,,,,
,Haverstraw Town,"36,019",77,72,5,,,,
,Herkimer Village,"6,973",22,21,1,,,,
,Highland Falls Village,"3,708",14,10,4,,,,
,Holley Village,"1,688",2,2,0,,,,
,Hornell,"8,498",20,19,1,,,,
,Horseheads Village,"6,208",15,13,2,,,,
,Hudson,"6,788",31,25,6,,,,
,Hunter Town,"2,707",1,1,0,,,,
,Huntington Bay Village,"1,446",6,6,0,,,,
,Hyde Park Town,"20,355",19,16,3,,,,
,Ilion Village,"8,033",20,18,2,,,,
,Irondequoit Town,"49,767",70,57,13,,,,
,Irvington Village,"6,688",22,21,1,,,,
,Jamestown,"29,279",73,62,11,,,,
,Johnson City Village,"14,745",45,40,5,,,,
,Johnstown,"8,428",26,25,1,,,,
,Kenmore Village,"14,973",25,25,0,,,,
,Kent Town,"14,247",26,21,5,,,,
,Kings Point Village,"5,126",24,22,2,,,,
,Kingston,"22,520",86,80,6,,,,
,Kirkland Town,"8,376",6,6,0,,,,
,Lackawanna,"17,549",67,47,20,,,,
,Lake Placid Village,"2,777",18,14,4,,,,
,Lake Success Village,"2,792",27,24,3,,,,
,Lancaster Town,"23,329",65,50,15,,,,
,Larchmont Village,"6,598",28,27,1,,,,
,Le Roy Village,"4,147",12,9,3,,,,
,Lewisboro Town,"12,607",2,2,0,,,,
,Liberty Village,"3,881",18,15,3,,,,
,Little Falls,"4,878",12,11,1,,,,
,Liverpool Village,"2,348",6,5,1,,,,
,Lloyd Harbor Village ,"3,597",14,13,1,,,,
,Lloyd Town,"10,853",13,10,3,,,,
,Lockport,"20,597",55,51,4,,,,
,Long Beach,"34,478",91,73,18,,,,
,Lowville Village,"3,184",6,6,0,,,,
,Lloyd Harbor Village,"3,597",14,13,1,,,,
,Lloyd Town,"10,853",13,10,3,,,,
,Lynbrook Village,"19,132",56,48,8,,,,
,Lyons Village,"3,395",10,8,2,,,,
,Macedon Town and Village,"8,785",3,3,0,,,,
,Malone Village,"5,782",15,15,0,,,,
,Mamaroneck Village,"18,450",58,52,6,,,,
,Manlius Town,"24,954",46,38,8,,,,
,Marlborough Town,"8,335",12,9,3,,,,
,Massena Village,"10,530",26,21,5,,,,
,Maybrook Village,"4,133",3,3,0,,,,
,Medina Village,"6,011",11,10,1,,,,
,Menands Village,"3,798",13,10,3,,,,
,Middleport Village,"1,778",3,3,0,,,,
,Middletown,"25,928",88,75,13,,,,
,Mohawk Village,"2,473",4,4,0,,,,
,Montgomery Town,"8,749",15,14,1,,,,
,Monticello Village,"6,551",27,24,3,,,,
,Moriah Town,"3,468",2,2,0,,,,
,Mount Kisco Village,"10,484",37,33,4,,,,
,Mount Morris Village,"2,867",6,6,0,,,,
,Mount Vernon,"67,810",231,203,28,,,,
,Newburgh,"28,180",106,91,15,,,,
,Newburgh Town,"31,111",72,59,13,,,,
,New Hartford Town and Village,"19,231",32,21,11,,,,
,New Rochelle,"73,376",247,185,62,,,,
,New Windsor Town,"25,279",57,45,12,,,,
,New York ,"8,345,075","49,664","35,761","13,903",,,,
,New York Mills Village,"3,326",5,5,0,,,,
,Niagara Falls,"51,192",166,146,20,,,,
,Niagara Town,"8,401",7,6,1,,,,
,Niskayuna Town,"21,925",29,29,0,,,,
,Nissequogue Village,"1,534",3,3,0,,,,
,North Castle Town,"12,237",41,38,3,,,,
,North Greenbush Town,"11,888",19,17,2,,,,
,Northport Village,"7,376",19,15,4,,,,
,North Syracuse Village,"6,596",13,12,1,,,,
,Norwich,"7,021",20,19,1,,,,
,Ocean Beach Village,143,4,4,0,,,,
,Old Brookville Village,"2,222",50,39,11,,,,
,Old Westbury Village,"5,362",31,26,5,,,,
,Olean,"14,165",38,32,6,,,,
,Oneida,"10,768",28,24,4,,,,
,Oneonta City,"13,224",29,25,4,,,,
,Orangetown Town,"36,759",99,90,9,,,,
,Orchard Park Town,"28,599",38,33,5,,,,
,Ossining Village,"23,907",69,60,9,,,,
,Oswego City,"17,303",52,44,8,,,,
,Owego Village,"3,676",9,8,1,,,,
,Oxford Village,"1,542",1,1,0,,,,
,Oyster Bay Cove Village,"2,212",11,11,0,,,,
,Painted Post Village,"1,751",4,4,0,,,,
,Peekskill,"24,820",74,60,14,,,,
,Penn Yan Village,"5,153",13,12,1,,,,
,Perry Village,"3,667",5,5,0,,,,
,Plattsburgh City,"19,521",55,48,7,,,,
,Port Chester Village,"28,237",65,62,3,,,,
,Port Dickinson Village,"1,597",5,4,1,,,,
,Port Jervis,"9,152",33,32,1,,,,
,Port Washington,"18,237",72,65,7,,,,
,Poughkeepsie,"29,606",141,106,35,,,,
,Poughkeepsie Town,"43,453",96,84,12,,,,
,Pulaski Village,"2,280",1,1,0,,,,
,Quogue Village,"1,114",14,13,1,,,,
,Riverhead Town,"34,618",105,85,20,,,,
,Rochester,"205,341",923,759,164,,,,
,Rockville Centre Village,"23,513",61,51,10,,,,
,Rome,"33,746",80,76,4,,,,
,Rouses Point Village,"2,344",1,1,0,,,,
,Rye,"15,275",44,39,5,,,,
,Rye Brook Village,"9,720",29,28,1,,,,
,Sag Harbor Village,"2,333",14,13,1,,,,
,Sands Point Village,"2,795",21,21,0,,,,
,Saranac Lake Village,"4,801",11,11,0,,,,
,Schenectady,"61,506",216,166,50,,,,
,Shelter Island Town,"2,453",10,9,1,,,,
,Sidney Village,"3,692",9,9,0,,,,
,Silver Creek Village,"2,798",6,5,1,,,,
,Sodus Village,"1,598",1,1,0,,,,
,Solvay Village,"6,429",15,13,2,,,,
,Southampton Town,"50,089",155,108,47,,,,
,South Nyack Village,"3,374",6,6,0,,,,
,Spring Valley Village,"26,337",65,57,8,,,,
,Stony Point Town,"15,226",31,30,1,,,,
,Syracuse,"138,211",563,494,69,,,,
,Tonawanda,"14,792",34,29,5,,,,
,Tonawanda Town,"56,605",157,106,51,,,,
,Troy,"47,567",138,122,16,,,,
,Tuckahoe Village,"6,253",29,26,3,,,,
,Tupper Lake Village,"3,824",10,10,0,,,,
,Tuxedo Park Village,720,6,3,3,,,,
,Tuxedo Town,"3,003",15,12,3,,,,
,Ulster Town,"12,733",33,29,4,,,,
,Utica,"58,234",189,171,18,,,,
,Vestal Town,"27,412",42,38,4,,,,
,Wallkill Town,"27,643",48,42,6,,,,
,Walton Village,"2,824",7,6,1,,,,
,Wappingers Falls Village,"5,386",7,4,3,,,,
,Warwick Town,"19,998",42,35,7,,,,
,Washingtonville Village,"6,185",18,16,2,,,,
,Waterford Town and Village,"8,579",12,9,3,,,,
,Waterloo Village,"5,020",9,8,1,,,,
,Watertown,"27,546",72,68,4,,,,
,Watervliet,"9,788",29,26,3,,,,
,Watkins Glen Village,"2,032",6,6,0,,,,
,Waverly Village,"4,338",11,10,1,,,,
,Webb Town,"1,934",5,5,0,,,,
,Webster Town and Village,"41,735",34,30,4,,,,
,Wellsville Village,"4,874",15,11,4,,,,
,Westfield Village,"3,361",5,5,0,,,,
,Westhampton Beach Village,"1,937",19,16,3,,,,
,West Seneca Town,"43,837",80,66,14,,,,
,White Plains,"57,932",235,218,17,,,,
,Whitesboro Village,"3,772",8,8,0,,,,
,Whitestown Town,"9,310",6,6,0,,,,
,Windham Town,"1,928",3,3,0,,,,
,Woodbury Town,"10,309",26,22,4,,,,
,Yonkers,"199,615",726,649,77,,,,
,Yorktown Town,"37,928",65,57,8,,,,
,Yorkville Village,"2,565",3,3,0,,,,
NORTH CAROLINA,Aberdeen,"5,662",26,24,2,,,,
,Ahoskie,"4,196",20,16,4,,,,
,Albemarle,"15,423",55,49,6,,,,
,Andrews,"1,707",6,5,1,,,,
,Angier,"4,414",11,10,1,,,,
,Apex,"33,244",68,54,14,,,,
,Archdale,"9,291",31,25,6,,,,
,Asheboro,"24,458",85,78,7,,,,
,Asheville,"74,215",266,195,71,,,,
,Atlantic Beach,"1,811",22,18,4,,,,
,Aurora,593,2,2,0,,,,
,Ayden,"5,020",22,18,4,,,,
,Badin,"1,336",5,5,0,,,,
,Bailey,681,2,2,0,,,,
,Bakersville,350,2,1,1,,,,
,Bald Head Island,305,12,11,1,,,,
,Banner Elk,921,10,9,1,,,,
,Beaufort,"4,245",18,17,1,,,,
,Beech Mountain,330,14,10,4,,,,
,Belhaven,"2,009",8,4,4,,,,
,Belmont,"9,263",43,34,9,,,,
,Benson,"3,471",15,14,1,,,,
,Bethel,"1,739",7,7,0,,,,
,Beulaville,"1,121",5,5,0,,,,
,Biltmore Forest,"1,561",14,13,1,,,,
,Biscoe,"1,680",9,8,1,,,,
,Black Creek,696,2,2,0,,,,
,Black Mountain,"7,892",22,18,4,,,,
,Bladenboro,"1,667",6,6,0,,,,
,Blowing Rock,"1,482",13,10,3,,,,
,Boiling Spring Lakes,"4,773",10,9,1,,,,
,Boiling Springs,"3,796",8,8,0,,,,
,Boone,"13,885",43,35,8,,,,
,Boonville,"1,115",4,4,0,,,,
,Brevard,"6,674",29,23,6,,,,
,Broadway,"1,151",4,4,0,,,,
,Brookford,425,1,1,0,,,,
,Bryson City,"1,388",8,7,1,,,,
,Bunn,407,3,3,0,,,,
,Burgaw,"4,160",11,10,1,,,,
,Burlington,"50,058",146,102,44,,,,
,Burnsville,"1,647",8,8,0,,,,
,Butner,"6,636",46,41,5,,,,
,Cameron,322,1,1,0,,,,
,Candor,834,5,5,0,,,,
,Canton,"3,882",20,14,6,,,,
,Cape Carteret,"1,433",7,7,0,,,,
,Carolina Beach,"5,989",29,26,3,,,,
,Carrboro,"17,958",39,37,2,,,,
,Carthage,"2,027",11,10,1,,,,
,Cary,"125,277",189,159,30,,,,
,Caswell Beach,483,4,4,0,,,,
,Catawba,806,3,3,0,,,,
,Chadbourn,"2,063",10,9,1,,,,
,Chapel Hill,"52,034",136,112,24,,,,
,Charlotte-Mecklenburg1,"758,769","2,122","1,637",485,,,,
,Cherryville,"5,554",23,18,5,,,,
,China Grove,"3,722",12,12,0,,,,
,Chocowinity,716,3,3,0,,,,
,Claremont,"1,143",9,8,1,,,,
,Clayton,"16,013",46,42,4,,,,
,Cleveland,833,5,5,0,,,,
,Clinton,"8,876",36,33,3,,,,
,Clyde,"1,255",4,4,0,,,,
,Columbus,977,6,6,0,,,,
,Concord,"65,725",176,151,25,,,,
,Conover,"7,302",25,24,1,,,,
,Conway,668,2,2,0,,,,
,Cooleemee,982,4,4,0,,,,
,Cornelius,"24,983",56,41,15,,,,
,Cramerton,"3,109",12,12,0,,,,
,Creedmoor,"3,606",17,13,4,,,,
,Dallas,"3,734",17,13,4,,,,
,Davidson,"9,933",17,16,1,,,,
,Denton,"1,479",6,6,0,,,,
,Dobson,"1,454",4,4,0,,,,
,Drexel,"1,869",5,5,0,,,,
,Dunn,"10,004",46,37,9,,,,
,Durham,"221,785",584,450,134,,,,
,East Bend,664,2,2,0,,,,
,Eden,"15,393",53,44,9,,,,
,Edenton,"4,992",14,12,2,,,,
,Elizabeth City,"19,813",68,56,12,,,,
,Elizabethtown,"3,762",15,14,1,,,,
,Elkin,"4,079",21,17,4,,,,
,Elon,"6,986",16,15,1,,,,
,Emerald Isle,"3,672",18,13,5,,,,
,Enfield,"2,331",11,10,1,,,,
,Erwin,"4,807",10,9,1,,,,
,Fair Bluff,"1,139",3,3,0,,,,
,Fairmont,"2,717",14,11,3,,,,
,Farmville,"4,630",24,19,5,,,,
,Fayetteville,"171,457",489,334,155,,,,
,Fletcher,"4,725",13,12,1,,,,
,Forest City,"7,086",34,32,2,,,,
,Four Oaks,"1,912",5,5,0,,,,
,Foxfire Village,491,2,2,0,,,,
,Franklin,"3,953",19,18,1,,,,
,Franklinton,"1,972",10,9,1,,,,
,Fremont,"1,429",7,4,3,,,,
,Fuquay-Varina,"16,674",33,28,5,,,,
,Garner,"26,378",67,61,6,,,,
,Garysburg,"1,140",2,2,0,,,,
,Gaston,886,2,2,0,,,,
,Gastonia,"71,486",195,168,27,,,,
,Gibsonville,"4,732",15,14,1,,,,
,Glen Alpine,"1,076",3,3,0,,,,
,Goldsboro,"37,445",107,93,14,,,,
,Graham,"14,543",38,35,3,,,,
,Granite Falls,"4,570",16,14,2,,,,
,Granite Quarry,"2,234",7,7,0,,,,
,Greensboro,"249,561",700,593,107,,,,
,Greenville,"77,960",212,172,40,,,,
,Grifton,"2,234",8,8,0,,,,
,Hamlet,"5,749",22,18,4,,,,
,Havelock,"22,135",33,27,6,,,,
,Henderson,"15,841",59,50,9,,,,
,Hendersonville,"12,027",50,38,12,,,,
,Hertford,"2,149",8,7,1,,,,
,Hickory,"41,414",144,115,29,,,,
,Highlands,950,12,12,0,,,,
,High Point,"102,298",260,209,51,,,,
,Hillsborough,"5,559",31,28,3,,,,
,Holden Beach,858,9,9,0,,,,
,Holly Ridge,830,9,8,1,,,,
,Holly Springs,"21,432",45,36,9,,,,
,Hope Mills,"13,004",36,28,8,,,,
,Hot Springs,636,1,1,0,,,,
,Hudson,"3,023",12,11,1,,,,
,Huntersville,"45,273",85,75,10,,,,
,Indian Beach,93,4,4,0,,,,
,Jackson,646,2,1,1,,,,
,Jacksonville,"75,770",136,108,28,,,,
,Jefferson,"1,361",3,3,0,,,,
,Jonesville,"2,269",11,10,1,,,,
,Kannapolis,"42,065",98,71,27,,,,
,Kenansville,904,5,5,0,,,,
,Kenly,"1,930",8,7,1,,,,
,Kernersville,"22,782",84,64,20,,,,
,Kill Devil Hills,"6,670",29,22,7,,,,
,King,"6,863",21,18,3,,,,
,Kings Mountain,"11,136",37,31,6,,,,
,Kingstown,844,1,1,0,,,,
,Kinston,"22,168",80,71,9,,,,
,Kitty Hawk,"3,344",17,15,2,,,,
,Knightdale,"7,571",23,22,1,,,,
,Kure Beach,"2,647",10,9,1,,,,
,La Grange,"2,745",6,6,0,,,,
,Lake Lure,"1,005",11,10,1,,,,
,Lake Royale,,4,4,0,,,,
