State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Hayden,"1,249",8,7,1,,,,
,Holbrook,"5,094",23,15,8,,,,
,Huachuca City,"1,989",9,4,5,,,,
,Jerome,357,5,5,0,,,,
,Kearny,"3,243",8,5,3,,,,
,Kingman,"28,725",86,57,29,,,,
,Lake Havasu City,"57,616",121,91,30,,,,
,Mammoth,"2,534",7,4,3,,,,
,Marana,"34,549",103,74,29,,,,
,Mesa,"456,821","1,328",831,497,,,,
,Miami,"1,786",11,7,4,,,,
,Nogales,"19,757",79,62,17,,,,
,Oro Valley,"40,785",133,102,31,,,,
,Page,"6,917",30,19,11,,,,
,Paradise Valley,"15,134",43,33,10,,,,
,Parker,"3,193",13,11,2,,,,
,Patagonia,772,4,4,0,,,,
,Peoria,"151,493",280,186,94,,,,
,Phoenix,"1,585,838","4,420","3,351","1,069",,,,
,Pima,"2,077",3,3,0,,,,
,Pinetop-Lakeside,"4,665",23,15,8,,,,
,Prescott,"43,190",88,71,17,,,,
,Prescott Valley,"39,856",82,65,17,,,,
,Quartzsite,"3,544",14,13,1,,,,
,Safford,"9,329",25,21,4,,,,
,Sahuarita,"22,389",49,42,7,,,,
,Scottsdale,"238,905",697,421,276,,,,
,Sedona,"11,580",40,29,11,,,,
,Show Low,"12,394",43,30,13,,,,
,Sierra Vista,"43,642",89,62,27,,,,
,Snowflake-Taylor,"9,683",22,14,8,,,,
,Somerton,"11,837",34,24,10,,,,
,South Tucson,"5,606",23,16,7,,,,
,Springerville,"1,995",10,7,3,,,,
,St. Johns,"3,624",12,9,3,,,,
,Superior,"3,049",13,10,3,,,,
,Surprise,"101,141",187,134,53,,,,
,Tempe,"176,388",539,358,181,,,,
,Thatcher,"4,874",12,11,1,,,,
,Tolleson,"7,232",41,31,10,,,,
,Tucson,"528,917","1,406","1,037",369,,,,
,Wellton,"1,909",5,5,0,,,,
,Wickenburg,"6,716",23,15,8,,,,
,Willcox,"3,799",20,11,9,,,,
,Williams,"3,346",21,13,8,,,,
,Winslow,"9,842",33,24,9,,,,
,Youngtown,"5,301",12,11,1,,,,
,Yuma,"90,245",253,167,86,,,,
ARKANSAS,Alma,"5,054",18,11,7,,,,
,Altheimer,"1,116",2,1,1,,,,
,Arkadelphia,"10,826",27,22,5,,,,
,Ashdown,"4,407",12,11,1,,,,
,Atkins,"2,963",7,6,1,,,,
,Augusta,"2,278",7,7,0,,,,
,Austin,"1,719",3,3,0,,,,
,Bald Knob,"3,389",9,5,4,,,,
,Barling,"4,475",9,9,0,,,,
,Bay,"2,038",3,3,0,,,,
,Bearden,992,2,2,0,,,,
,Beebe,"6,883",20,13,7,,,,
,Bella Vista,"16,120",27,20,7,,,,
,Benton,"29,121",63,52,11,,,,
,Bentonville,"35,970",82,56,26,,,,
,Berryville,"5,284",12,10,2,,,,
,Blytheville,"15,829",58,40,18,,,,
,Bono,"1,592",3,3,0,,,,
,Booneville,"4,070",12,8,4,,,,
,Bradford,846,2,2,0,,,,
,Brinkley,"3,215",15,11,4,,,,
,Bryant,"15,218",41,29,12,,,,
,Bull Shoals,"2,109",3,3,0,,,,
,Cabot,"24,387",48,35,13,,,,
,Caddo Valley,638,4,4,0,,,,
,Camden,"11,489",38,23,15,,,,
,Cammack Village,775,6,4,2,,,,
,Caraway,"1,388",2,2,0,,,,
,Carlisle,"2,369",9,6,3,,,,
,Cave City,"2,057",3,3,0,,,,
,Cave Springs,"1,620",3,3,0,,,,
,Centerton,"9,522",11,10,1,,,,
,Charleston,"3,013",4,4,0,,,,
,Cherokee Village,"4,799",7,6,1,,,,
,Clarendon,"1,680",4,4,0,,,,
,Clarksville,"8,621",22,18,4,,,,
,Clinton,"2,388",9,8,1,,,,
,Conway,"58,945",152,107,45,,,,
,Corning,"3,330",11,7,4,,,,
,Cotter,"1,083",4,3,1,,,,
,Crossett,"5,474",24,14,10,,,,
,Danville,"2,472",6,5,1,,,,
,Dardanelle,"4,422",14,10,4,,,,
,Decatur,"1,948",6,6,0,,,,
,De Queen,"5,899",16,13,3,,,,
,Dermott,"3,247",11,6,5,,,,
,Des Arc,"1,720",4,4,0,,,,
,De Witt,"3,249",14,9,5,,,,
,Diamond City,807,2,2,0,,,,
,Diaz,"1,164",2,2,0,,,,
,Dierks,"1,202",3,3,0,,,,
,Dover,"1,405",4,4,0,,,,
,Dumas,"4,592",24,12,12,,,,
,Earle,"2,763",8,6,2,,,,
,El Dorado,"19,706",68,51,17,,,,
,Elkins,"2,624",7,7,0,,,,
,England,"2,942",14,7,7,,,,
,Etowah,338,1,1,0,,,,
,Eudora,"2,354",11,6,5,,,,
,Eureka Springs,"2,356",15,10,5,,,,
,Fairfield Bay,"2,491",15,8,7,,,,
,Farmington,"4,802",11,10,1,,,,
,Fayetteville,"73,999",177,118,59,,,,
,Flippin,"1,374",7,7,0,,,,
,Fordyce,"4,226",12,8,4,,,,
,Forrest City,"13,391",41,33,8,,,,
,Fort Smith,"84,847",204,162,42,,,,
,Gassville,"2,178",4,4,0,,,,
,Gentry,"2,885",10,8,2,,,,
,Glenwood,"2,017",3,3,0,,,,
,Gosnell,"3,609",9,9,0,,,,
,Gravette,"2,657",10,9,1,,,,
,Greenbrier,"4,414",14,10,4,,,,
,Green Forest,"3,027",8,6,2,,,,
,Greenland,"1,292",4,4,0,,,,
,Greenwood,"8,661",20,19,1,,,,
,Greers Ferry,970,4,3,1,,,,
,Gurdon,"2,296",4,3,1,,,,
,Guy,565,2,1,1,,,,
,Hamburg,"2,696",6,5,1,,,,
,Hampton,"1,489",4,4,0,,,,
,Hardy,816,3,3,0,,,,
,Harrisburg,"2,108",5,4,1,,,,
,Harrison,"13,221",38,28,10,,,,
,Hazen,"1,471",5,4,1,,,,
,Heber Springs,"7,262",23,14,9,,,,
,Helena-West Helena,"12,147",45,30,15,,,,
,Hermitage,750,3,3,0,,,,
